序号,来源图纸,类别,构件名称,规格,编号,轴位,区域,宽度/m,高度/m,左右接,X坐标,Y坐标,图层
136,X-HLP3-AR-F3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-4F-1_500-A,,,X/Y轴,北区,,,,260100.0,154700.0,A-DOOR
137,X-HLP3-AR-F3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4642602-LAY-4F-1_500-A,,,X/Y轴,北区,,,,287800.0,156000.0,A-DOOR
138,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,246800.0,156000.0,A-DOOR
139,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,244275.0,156000.0,A-DOOR
140,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - GM1530-4643723-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,179700.0,154800.0,A-DOOR
141,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - GM2530-4643313-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,W/X轴,北区,3.50,2.30,左,181650.0,151500.0,A-DOOR
142,X-HLP3-AR-F3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - QM1523-4721500-LAY-4F-1_500-A,3500x2300(左) DCC-F*2,DCC-F,W/X轴,北区,3.50,2.30,左,37800.0,152400.0,A-DOOR
143,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,R/S轴,北中区,2.85,2.30,右,236075.0,115725.0,A-DOOR
144,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,R/S轴,北中区,2.85,2.30,右,183275.0,114475.0,A-DOOR
145,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,F/G轴,南区,2.85,2.30,右,183275.0,43925.0,A-DOOR
146,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,R/S轴,北中区,2.85,2.30,右,236075.0,113000.0,A-DOOR
147,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,R/S轴,北中区,2.85,2.30,右,233675.0,114475.0,A-DOOR
148,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,R/S轴,北中区,2.85,2.30,右,18325.0,114475.0,A-DOOR
149,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,F/G轴,南区,2.85,2.30,右,16075.0,42675.0,A-DOOR
150,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-04-001",单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,F/G轴,南区,2.85,2.30,右,68725.0,44150.0,A-DOOR
151,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703398-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,G/H轴,南中区,2.85,2.30,右,71925.0,44750.0,A-DOOR
152,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703356-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,F/G轴,南区,2.85,2.30,右,73650.0,42675.0,A-DOOR
153,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,F/G轴,南区,2.85,2.30,右,18325.0,43925.0,A-DOOR
154,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,R/S轴,北中区,2.85,2.30,右,177875.0,115725.0,A-DOOR
155,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗1 - FM甲1223_A_-4715619-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,S/T轴,北中区,2.85,2.30,右,21300.0,123600.0,A-DOOR
156,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-V64-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,S/T轴,北中区,2.85,2.30,右,20800.0,122100.0,A-DOOR
157,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703376-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,S/T轴,北中区,2.85,2.30,右,173800.0,122100.0,A-DOOR
158,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703382-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,S/T轴,北中区,2.85,2.30,右,236600.0,122100.0,A-DOOR
159,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703358-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,G/H轴,南中区,2.85,2.30,右,101100.0,44575.0,A-DOOR
160,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703382-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,E/F轴,南区,2.85,2.30,右,68800.0,36300.0,A-DOOR
161,X-HLP3-AR-F3-LAY-02-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703382-LAY-2F-1_500-A,2850x2300(右) DCC-D,DCC-D,R/S轴,北中区,2.85,2.30,右,245925.0,115300.0,A-DOOR
162,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-V1-LAY-4F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,F/G轴,南区,2.85,2.30,右,183275.0,44150.0,A-DOOR
163,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-V3-LAY-4F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,R/S轴,北中区,2.85,2.30,右,183275.0,114250.0,A-DOOR
164,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-4703446-LAY-4F-1_500-A,2850x2300(右) DCC-D,DCC-D,R/S轴,北中区,2.85,2.30,右,18453.0,114244.0,A-DOOR
165,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-V3-LAY-4F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,F/G轴,南区,2.85,2.30,右,18325.0,44150.0,A-DOOR
166,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-V427-LAY-4F-1_500-A,2850x2300(右) DCC-D,DCC-D,R/S轴,北中区,2.85,2.30,右,239750.0,113750.0,A-DOOR
167,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-V428-LAY-4F-1_500-A,2850x2300(右) DCC-D,DCC-D,G/H轴,南中区,2.85,2.30,右,239750.0,45000.0,A-DOOR
168,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - QM1123-4703428-LAY-4F-1_500-A,2850x2300(右) DCC-D,DCC-D,R/S轴,北中区,2.85,2.30,右,16225.0,112000.0,A-DOOR
169,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-V3-LAY-4F-1_500-A,2850x2300(右) DCC-D,DCC-D,R/S轴,北中区,2.85,2.30,右,233675.0,114350.0,A-DOOR
170,X-HLP3-AR-F3-LAY-01-001,门,双扇平开门-角度可调 - FM甲1523_160__-4715204-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,R/S轴,北中区,2.85,2.30,右,16025.0,115725.0,A-DOOR
171,X-HLP3-AR-F3-LAY-01-001,门,双扇平开外门_带观察窗 - GM3433_A_-4070944-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,F/G轴,南区,2.85,2.30,右,75.0,40100.0,A-DOOR
172,X-HLP3-AR-F3-LAY-01-001,门,双扇平开外门_带观察窗 - GM3030_A_-4070975-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,G/H轴,南中区,2.85,2.30,右,300.0,46800.0,A-DOOR
173,X-HLP3-AR-F3-LAY-01-001,门,双扇平开门-角度可调 - FM甲2530_160___常开_-4636565-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,右,67075.0,115725.0,A-DOOR
174,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703358-LAY-1F-1_500-A,2850x2300(右) DCC-E*2,DCC-E,F/G轴,南区,2.85,2.30,右,125675.0,43925.0,A-DOOR
175,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-V1-LAY-4F-1_500-A,2850x2300(右) DCC-E*2,DCC-E,F/G轴,南区,2.85,2.30,右,125675.0,44150.0,A-DOOR
176,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1524-4642886-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,DCC-C,F/G轴,南区,2.85,1.80,左,127600.0,42675.0,A-DOOR
177,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4644483-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,左,132100.0,110700.0,A-DOOR
178,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4644483-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,左,132100.0,112300.0,A-DOOR
179,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4644473-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,左,108300.0,111600.0,A-DOOR
180,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4644473-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,左,136800.0,110275.0,A-DOOR
181,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4642848-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,DCC-C,F/G轴,南区,2.85,1.80,左,55350.0,42675.0,A-DOOR
182,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4642914-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,DCC-C,M/N轴,北中区,2.85,1.80,左,7200.0,82800.0,A-DOOR
183,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2430-4642638-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,DCC-C,G/H轴,南中区,2.85,1.80,左,134325.0,45300.0,A-DOOR
184,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,2850x1800(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,左,129600.0,112500.0,A-DOOR
185,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,2850x1800(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,左,129600.0,110700.0,A-DOOR
186,X-HLP3-AR-F3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - QM1523-4721500-LAY-4F-1_500-A,2850x1800(左) DCC-C*2,DCC-C,K/L轴,南中区,2.85,1.80,左,2800.0,69800.0,A-DOOR
187,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2030-4642932-LAY-1F-1_500-A,2000*2300(左) DCC-B,DCC-B,R/S轴,北中区,2.00,2.30,左,185250.0,115725.0,A-DOOR
188,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,2000*2300(左) DCC-B,DCC-B,R/S轴,北中区,2.00,2.30,左,187725.0,110700.0,A-DOOR
189,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4643343-LAY-1F-1_500-A,2000*2300(左) DCC-B,DCC-B,R/S轴,北中区,2.00,2.30,左,185250.0,111400.0,A-DOOR
190,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2030-4642932-LAY-1F-1_500-A,2000*2300(左) DCC-B,DCC-B,F/G轴,南区,2.00,2.30,左,59600.0,42675.0,A-DOOR
191,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1527-4643437-LAY-1F-1_500-A,2000*2300(左) DCC-B,DCC-B,G/H轴,南中区,2.00,2.30,左,192825.0,46800.0,A-DOOR
192,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-1F-1_500-A,2000*2300(左) DCC-B,DCC-B,G/H轴,南中区,2.00,2.30,左,190800.0,45900.0,A-DOOR
193,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,2000*2300(左) DCC-B,DCC-B,G/H轴,南中区,2.00,2.30,左,187200.0,47700.0,A-DOOR
194,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,2000*2300(左) DCC-B,DCC-B,G/H轴,南中区,2.00,2.30,左,187200.0,45900.0,A-DOOR
195,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-4703400-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,右,125675.0,114475.0,A-DOOR
196,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703358-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,右,68725.0,114475.0,A-DOOR
197,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703430-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,右,71925.0,113725.0,A-DOOR
198,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703356-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,右,73650.0,115725.0,A-DOOR
199,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703358-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,右,74150.0,112700.0,A-DOOR
200,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,G/H轴,南中区,2.85,1.80,右,30175.0,50925.0,A-DOOR
201,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,H/J轴,南中区,2.85,1.80,右,31300.0,56150.0,A-DOOR
202,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-V64-LAY-1F-1_500-A,2850x1800(右) DCC-C,DCC-C,S/T轴,北中区,2.85,1.80,右,78400.0,122100.0,A-DOOR
203,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703382-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,S/T轴,北中区,2.85,1.80,右,73400.0,122100.0,A-DOOR
204,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703376-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,S/T轴,北中区,2.85,1.80,右,195400.0,122100.0,A-DOOR
205,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703562-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,T/U轴,北中区,2.85,1.80,右,6650.0,123900.0,A-DOOR
206,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703394-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,S/T轴,北中区,2.85,1.80,右,7550.0,121600.0,A-DOOR
207,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-V3-LAY-4F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,右,125675.0,114250.0,A-DOOR
208,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-V7-LAY-4F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,G/H轴,南中区,2.85,1.80,右,129600.0,47600.0,A-DOOR
209,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-V1-LAY-4F-1_500-A,2850x1800(右) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,右,68725.0,114250.0,A-DOOR
210,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2850x2600(右) DCC-E,DCC-E,R/S轴,北中区,2.85,2.60,右,127600.0,115725.0,A-DOOR
211,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703562-LAY-1F-1_500-A,2850x2600(右) DCC-E*2,DCC-E,S/T轴,北中区,2.85,2.60,右,4100.0,123050.0,A-DOOR
212,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703380-LAY-1F-1_500-A,2850x2600(右) DCC-E*2,DCC-E,S/T轴,北中区,2.85,2.60,右,4150.0,121600.0,A-DOOR
213,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703382-LAY-1F-1_500-A,2850x2600(右) DCC-E,DCC-E,E/F轴,南区,2.85,2.60,右,166600.0,36300.0,A-DOOR
214,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-V427-LAY-4F-1_500-A,2850x2600(右) DCC-E,DCC-E,R/S轴,北中区,2.85,2.60,右,131000.0,115425.0,A-DOOR
215,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2850x2300(左) DCC-D,DCC-D,F/G轴,南区,2.85,2.30,左,236050.0,42675.0,A-DOOR
216,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x2300(左) DCC-D,DCC-D,F/G轴,南区,2.85,2.30,左,233675.0,43925.0,A-DOOR
217,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2850x2300(左) DCC-D,DCC-D,G/H轴,南中区,2.85,2.30,左,236050.0,45400.0,A-DOOR
218,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2000*2300(左) DCC-B,DCC-B,F/G轴,南区,2.00,2.30,左,185150.0,42675.0,A-DOOR
219,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2000*2300(左) DCC-B,DCC-B,G/H轴,南中区,2.00,2.30,左,185150.0,46800.0,A-DOOR
220,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - QM1123-V117-LAY-1F-1_500-A,2000*2300(左) DCC-B,DCC-B,G/H轴,南中区,2.00,2.30,左,236050.0,51050.0,A-DOOR
221,X-HLP3-AR-F3-LAY-02-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-V2-LAY-2F-1_500-A,2000*2300(左) DCC-B,DCC-B,R/S轴,北中区,2.00,2.30,左,187725.01,110750.0,A-DOOR
222,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-V8-LAY-4F-1_500-A,2000*2300(左) DCC-B,DCC-B,G/H轴,南中区,2.00,2.30,左,187200.0,47600.0,A-DOOR
223,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-V425-LAY-4F-1_500-A,2000*2300(左) DCC-B,DCC-B,R/S轴,北中区,2.00,2.30,左,187400.0,110650.0,A-DOOR
224,X-HLP3-AR-F3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-V6-LAY-4F-1_500-A,2000*2300(左) DCC-B,DCC-B,F/G轴,南区,2.00,2.30,左,188400.0,42975.0,A-DOOR
225,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,2000*2300(右) DCC-B,DCC-B,R/S轴,北中区,2.00,2.30,右,61075.0,110475.0,A-DOOR
226,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,2000*2300(右) DCC-B,DCC-B,Q/R轴,北中区,2.00,2.30,右,61075.0,108675.0,A-DOOR
227,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,2000*2300(右) DCC-B,DCC-B,G/H轴,南中区,2.00,2.30,右,65100.0,48975.0,A-DOOR
228,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2430-4642638-LAY-1F-1_500-A,2000*2300(右) DCC-B*2,DCC-B,S/T轴,北中区,2.00,2.30,右,75800.0,122100.0,A-DOOR
229,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,2000*2300(右) DCC-B,DCC-B,Q/R轴,北中区,2.00,2.30,右,59200.0,107475.0,A-DOOR
230,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001, X-HLP3-AR-F3-LAY-04-001",门,电梯门_客梯 - 5T货梯-4221831-LAY-1F-1_500-A,,,C/D轴,南区,,,,283700.0,16800.0,A-DOOR
231,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001, X-HLP3-AR-F3-LAY-04-001",门,电梯门_客梯 - 20T货梯-4055739-LAY-1F-1_500-A,,,A/B轴,南区,,,,283700.0,4050.0,A-DOOR
232,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001, X-HLP3-AR-F3-LAY-04-001",门,电梯门_客梯 - 20T货梯-4055739-LAY-1F-1_500-A,,,B/C轴,南区,,,,283700.0,10850.0,A-DOOR
233,X-HLP3-AR-F3-LAY-01-001,门,单扇平开门1 - CCB1221-3602038-LAY-1F-1_500-A,,,D/E轴,南区,,,,292950.0,23225.0,A-DOOR
234,X-HLP3-AR-F3-LAY-01-001,门,门-上方带亮子 - GM1530_B_-4887992-LAY-1F-1_500-A,,,F/G轴,南区,,,,292700.0,37675.0,A-DOOR
235,X-HLP3-AR-F3-LAY-01-001,门,门-上方带亮子 - GM1530_C_-4888096-LAY-1F-1_500-A,,,S/T轴,北中区,,,,292725.0,120250.0,A-DOOR
236,X-HLP3-AR-F3-LAY-01-001,门,单扇平开门1 - CCB1221-3601981-LAY-1F-1_500-A,,,T/U轴,北中区,,,,292950.0,124025.0,A-DOOR
237,X-HLP3-AR-F3-LAY-01-001,门,双扇平开外门_带观察窗 - GM3030_A_-3863802-LAY-1F-1_500-A,,,X/Y轴,北区,,,,266375.0,158325.0,A-DOOR
238,X-HLP3-AR-F3-LAY-01-001,门,门-上方带亮子 - GM1530_C_-4887983-LAY-1F-1_500-A,,,F/G轴,南区,,,,292725.0,41100.0,A-DOOR
239,X-HLP3-AR-F3-LAY-01-001,门,双扇平开外门_带观察窗 - GM3030_A_-3983928-LAY-1F-1_500-A,,,L/M轴,北中区,,,,292725.0,76200.0,A-DOOR
240,X-HLP3-AR-F3-LAY-01-001,门,双扇平开外门_带观察窗 - GM1530_A_-4335688-LAY-1F-1_500-A,,,E/F轴,南区,,,,292725.0,34175.0,A-DOOR
241,X-HLP3-AR-F3-LAY-01-001,门,双扇平开外门_带观察窗 - GM3030_A_-4238983-LAY-1F-1_500-A,,,A轴,南区,,,,278400.3,75.0,A-DOOR
242,X-HLP3-AR-F3-LAY-01-001,门,双扇平开门-角度可调 - FM甲2427_160__-4689979-LAY-1F-1_500-A,,,K/L轴,南中区,,,,268800.0,69200.0,A-DOOR
243,X-HLP3-AR-F3-LAY-01-001,门,双扇平开门-角度可调 - FM甲2427_160__-4689979-LAY-1F-1_500-A,,,L/M轴,北中区,,,,268800.0,77400.0,A-DOOR
244,X-HLP3-AR-F3-LAY-01-001,门,双扇平开门-角度可调 - FM甲2427_160__-4689979-LAY-1F-1_500-A,,,M/N轴,北中区,,,,264500.0,84100.0,A-DOOR
245,X-HLP3-AR-F3-LAY-01-001,门,双扇平开门-角度可调 - FM甲2427_160__-4689979-LAY-1F-1_500-A,,,U/V轴,北中区,,,,264500.0,134400.0,A-DOOR
246,X-HLP3-AR-F3-LAY-01-001,门,双扇平开门-角度可调 - FM甲2427_160__-4689979-LAY-1F-1_500-A,,,V/W轴,北区,,,,264500.0,140000.0,A-DOOR
247,X-HLP3-AR-F3-LAY-01-001,门,单扇平开门1 - FDM0821-4566175-LAY-1F-1_500-A,,,Q/R轴,北中区,,,,291200.0,102900.0,A-DOOR
