
一、DCC通风设备
序号,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台,来源图纸
165,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲3030-4643016-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
166,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4642848-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
167,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4642602-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
168,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
169,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,,2,X-HLP3-AR-F3-LAY-02-001
170,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-2F-1_500-A,,2,X-HLP3-AR-F3-LAY-02-001
171,,,双扇防火门,双扇平开防火门_带观察窗 - KBM2427-4644361-LAY-2F-1_500-A,,2,X-HLP3-AR-F3-LAY-02-001
172,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4642602-LAY-4F-1_500-A,,2,X-HLP3-AR-F3-LAY-04-001
173,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-4F-1_500-A,,2,X-HLP3-AR-F3-LAY-04-001
174,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,3500x2300(左) DCC-F,2,X-HLP3-AR-F3-LAY-01-001
175,,,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-V3-LAY-4F-1_500-A,2850x2300(右) DCC-D*2,2,X-HLP3-AR-F3-LAY-04-001
176,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4644483-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,2,X-HLP3-AR-F3-LAY-01-001
177,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4644473-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,2,X-HLP3-AR-F3-LAY-01-001
178,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,2850x1800(左) DCC-C*2,2,X-HLP3-AR-F3-LAY-02-001
179,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2030-4642932-LAY-1F-1_500-A,2000*2300(左) DCC-B,2,X-HLP3-AR-F3-LAY-01-001
180,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,2000*2300(左) DCC-B,2,X-HLP3-AR-F3-LAY-02-001
181,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703358-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,2,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001"
182,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,2,X-HLP3-AR-F3-LAY-01-001
183,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2850x2300(左) DCC-D,2,X-HLP3-AR-F3-LAY-01-001
184,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2000*2300(左) DCC-B,2,X-HLP3-AR-F3-LAY-01-001
185,,,门,电梯门_客梯 - 20T货梯-4055739-LAY-1F-1_500-A,,2,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001, X-HLP3-AR-F3-LAY-04-001"
186,,,门,门-上方带亮子 - GM1530_C_-4887983-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
187,,,门,单扇平开门1 - CCB1221-3602027-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
188,,,门,单扇平开门1 - CCB1421-3684694-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
189,,,门,电梯门_客梯 - 20T货梯-4055783-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
190,,,门,双扇平开门-角度可调 - FM甲2436_160__-4636667-LAY-4F-1_500-A,,2,X-HLP3-AR-F3-LAY-04-001
191,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1830-4643417-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,2,X-HLP3-AR-F3-LAY-01-001
192,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,2850x1800(右) DCC-C*2,2,X-HLP3-AR-F3-LAY-02-001
193,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4642914-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,2,X-HLP3-AR-F3-LAY-01-001
194,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530_常开_-4643217-LAY-1F-1_500-A,2850x2300(右) DCC-D,2,X-HLP3-AR-F3-LAY-01-001
